"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_valid_login[test_user_2@gmail.com-test_user_2@123]","","2026-07-19","skipped","2026-07-19","","","",""
"","889","test_search_invalid_product","tests","2026-07-19","passed","2026-07-19","TestSearch","test_search","",""
"","4855","test_register_existing_mail","tests","2026-07-19","passed","2026-07-19","TestRegister","test_register","",""
"","2721","test_invalid_login[test_user@gmail.com-test_user@456]","tests","2026-07-19","passed","2026-07-19","TestLogin","test_login","",""
"","0","test_search_valid_product","","2026-07-19","skipped","2026-07-19","","","",""
"","810","test_search_empty_product","tests","2026-07-19","passed","2026-07-19","TestSearch","test_search","",""
"","4817","test_register_all_fields[Neelima-Reddy-9876543210-test123-test123-True-True]","tests","2026-07-19","passed","2026-07-19","TestRegister","test_register","",""
"","0","test_search_empty_product","","2026-07-19","skipped","2026-07-19","","","",""
"","4670","test_register_all_fields[John-Smith-9876543211-test123-test123-False-True]","tests","2026-07-19","passed","2026-07-19","TestRegister","test_register","",""
"","2534","test_invalid_login[None-None]","tests","2026-07-19","passed","2026-07-19","TestLogin","test_login","",""
"","4577","test_register_without_anyfields","tests","2026-07-19","passed","2026-07-19","TestRegister","test_register","",""
"","2925","test_valid_login[test_user_1@gmail.com-test_user_1@123]","tests","2026-07-19","passed","2026-07-19","TestLogin","test_login","",""
"","5159","test_register_all_fields[Alice-Brown-9876543212-test123-test123-False-True]","tests","2026-07-19","passed","2026-07-19","TestRegister","test_register","",""
"","2224","test_invalid_login[test_user_5@gmail.com-qwerty@123]","tests","2026-07-19","passed","2026-07-19","TestLogin","test_login","",""
"","2227","test_valid_login[test_user_2@gmail.com-test_user_2@123]","tests","2026-07-19","passed","2026-07-19","TestLogin","test_login","",""
"","821","test_search_valid_product","tests","2026-07-19","passed","2026-07-19","TestSearch","test_search","",""
